Ward number,Ward Name,connections,consumption_ML,demand_LPS,demand_m3_s,Node,Supplied_LPS,Pressure(m),Shortage_LPS,Shortage_pct,Leakage_pct,Demand_m3_day,Supplied_m3_day,Shortage_m3_day,Explanation
1,Kempegowda Ward,4218,112.883906,1306.526689814815,1.306526689814815,J1,1293.273681576942,8.912434099975588,13.253008237873019,1.0143694990074392,1.0,112883.90600000002,111738.8460882478,1145.0599117522288,Satisfactory supply.
2,Chowdeshwari Ward,460,9.808984,113.52990740740739,0.1135299074074074,J2,108.24644719253718,129.1114675104137,5.283460214870217,4.653804742313647,2.3822293502082736,9808.983999999999,9352.493037435213,456.4909625647868,Satisfactory supply.
3,Attur,6109,170.257709,1970.575335648148,1.970575335648148,J3,1673.3437040084807,137.9715671990359,297.2316316396673,15.083494970361228,2.5594313439807177,170257.709,144576.89602633275,25680.812973667256,"Moderate shortage: partial supply, review local distribution trunk and pressures."
4,Yelahanka Satellite town,7741,405.676363,4695.328275462963,4.695328275462963,J4,4148.063161475174,10.535491406430697,547.2651139877889,11.655523999199572,1.0,405676.363,358392.65715145506,47283.70584854497,"Moderate shortage: partial supply, review local distribution trunk and pressures."
5,Jakkur,3752,108.076916,1250.8902314814816,1.2508902314814816,J5,1197.8878827931246,98.91657627126276,53.00234868835696,4.237170245192823,1.778331525425255,108076.91600000001,103497.51307332597,4579.402926674042,Satisfactory supply.
6,Thanisandra,3568,53.430968,618.4139814814815,0.6184139814814815,J6,617.2597273068488,129.63807793871604,1.1542541746326833,0.1866474900628112,2.3927615587743207,53430.96800000001,53331.24043931175,99.72756068826385,Satisfactory supply.
7,Byatarayanapura,9681,300.193673,3474.46380787037,3.4744638078703702,J7,2896.2989708337673,9.732971459658632,578.1648370366029,16.640404649688435,1.0,300193.673,250240.2310800375,49953.44191996249,"Moderate shortage: partial supply, review local distribution trunk and pressures."
8,Kodigehalli,5334,134.167843,1552.8685532407408,1.5528685532407407,J8,1299.9713826319414,9.063027133747989,252.89717060879934,16.28580668215726,1.0,134167.84300000002,112317.52745939975,21850.315540600266,"Moderate shortage: partial supply, review local distribution trunk and pressures."
9,Vidyaranyapura,12942,413.181715,4782.195775462963,4.782195775462963,J9,4180.394055278944,7.892750343902815,601.8017201840194,12.584213370598762,1.0,413181.715,361186.04637610074,51995.66862389928,"Moderate shortage: partial supply, review local distribution trunk and pressures."
10,Doddabommasandra,1821,28.410926,328.83016203703704,0.328830162037037,J10,328.2935622180938,98.30027202774671,0.5365998189432162,0.16318448880087147,1.7660054405549344,28410.926000000003,28364.56377564331,46.36222435669388,Satisfactory supply.
11,Kuvempunagar,4395,65.055924,752.9620833333335,0.7529620833333335,J11,750.3051759474129,129.45467780158836,2.65690738592059,0.3528607143348528,2.389093556031767,65055.92400000001,64826.367201856476,229.556798143539,Satisfactory supply.
12,Shettyhalli,7363,140.510895,1626.2835069444445,1.6262835069444446,J12,1370.0637140703636,9.457030927635966,256.2197928740809,15.754927832692681,1.0,140510.89500000002,118373.50489567942,22137.39010432059,"Moderate shortage: partial supply, review local distribution trunk and pressures."
13,Mallasandra,4505,74.839848,866.2019444444444,0.8662019444444444,J13,840.2054894135075,8.935185139087562,25.996455030936886,3.0012002625565826,1.0,74839.848,72593.75428532706,2246.093714672947,Satisfactory supply.
14,Bagalagunte,10291,273.211694,3162.1723842592587,3.1621723842592586,J14,2805.294756073324,85.79715681821686,356.87762818593455,11.285837228938213,1.5159431363643372,273211.69399999996,242377.46692473523,30834.22707526475,"Moderate shortage: partial supply, review local distribution trunk and pressures."
15,T. Dasarahalli,4567,145.757728,1687.0107407407406,1.6870107407407406,J15,1374.1863914936014,75.74334864201737,312.82434924713925,18.543115446306103,1.3148669728403473,145757.728,118729.70422504717,27028.02377495283,"Moderate shortage: partial supply, review local distribution trunk and pressures."
16,Jalahalli,3105,94.738711,1096.5128587962963,1.0965128587962962,J16,1056.1039580391969,10.532025130465923,40.408900757099445,3.685219049912334,1.0,94738.71100000001,91247.38197458662,3491.329025413392,Satisfactory supply.
17,J.P.Park,5734,130.249564,1507.5181018518517,1.5075181018518518,J17,1235.0295131869927,10.065195461609328,272.488588664859,18.075311223800963,1.0,130249.564,106706.54993935618,23543.014060643818,"Moderate shortage: partial supply, review local distribution trunk and pressures."
18,Radhakrishna Temple Ward,5520,100.244418,1160.2363194444445,1.1602363194444445,J18,1106.8725408242935,22.81100441119908,53.363778620150924,4.599388738813407,1.0,100244.418,95633.78752721897,4610.63047278104,Satisfactory supply.
19,Sanjaynagar,5805,85.176647,985.8408217592593,0.9858408217592592,J19,937.4428302728907,10.501136044588259,48.397991486368596,4.909310957523659,1.0,85176.64700000001,80995.06053557775,4181.586464422247,Satisfactory supply.
20,Ganganagar,3328,72.917677,843.9545949074075,0.8439545949074074,J20,827.6113125893595,11.395219252936375,16.343282318047955,1.9365120371008844,1.0,72917.67700000001,71505.61740772067,1412.0595922793434,Satisfactory supply.
21,Hebbal,7455,168.077498,1945.3414120370367,1.9453414120370367,J21,1662.696855623307,111.70485643930077,282.64455641372956,14.529303425343848,2.0340971287860157,168077.498,143657.00832585373,24420.489674146236,"Moderate shortage: partial supply, review local distribution trunk and pressures."
22,VishwanathNagenahalli,3277,79.76684,923.2273148148148,0.9232273148148148,J22,891.193632822606,8.886965576997023,32.03368199220881,3.469750242239559,1.0,79766.84000000001,76999.12987587316,2767.7101241268415,Satisfactory supply.
23,Nagavara,9052,198.719715,2299.996701388889,2.299996701388889,J23,2003.7601945217912,11.181257328075201,296.2365068670979,12.879866596687329,1.0,198719.71500000003,173124.88080668278,25594.83419331726,"Moderate shortage: partial supply, review local distribution trunk and pressures."
24,HBR Layout,8075,240.231719,2780.4597106481483,2.7804597106481483,J24,2454.552666251425,10.14249587736554,325.90704439672345,11.721336696540437,1.0,240231.71900000004,212073.35036412312,28158.36863587691,"Moderate shortage: partial supply, review local distribution trunk and pressures."
